类别,#,坐标,态度成语,认知,情绪,行为,故事,子类成语,来源
可能,,,,,,,,,
,,"(+,+,+)",心悦诚服,知觉与注意,快乐,奖励机制,敏锐捕捉，快乐，奖励机制,闻风而动,《左传》
,,,,知觉与注意,快乐,价值驱动,敏锐捕捉，快乐，价值驱动,见猎心喜,《二程全书》
,,,,知觉与注意,爱,奖励机制,敏锐捕捉，爱，奖励机制,投桃报李,《诗经》
,,,,知觉与注意,爱,价值驱动,敏锐捕捉，爱，价值驱动,飞蛾扑火,《梁书》
,,,,知识表征,快乐,奖励机制,准确判断，快乐，奖励机制,认贼作父,《三国演义》
,,,,知识表征,快乐,价值驱动,准确判断，快乐，价值驱动,志得意满,《史记》
,,,,知识表征,爱,奖励机制,准确判断，爱，奖励机制,成人之美,《论语》
,,,,知识表征,爱,价值驱动,准确判断，爱，价值驱动,舍己为人,《论语》
,,,,推理,快乐,奖励机制,理性推演，快乐，奖励机制,自鸣得意,明·沈德符
,,,,推理,快乐,价值驱动,理性推演，快乐，价值驱动,春风得意,唐·孟郊
,,,,推理,爱,奖励机制,理性推演，爱，奖励机制,投桃报李,《诗经》
,,,,推理,爱,价值驱动,理性推演，爱，价值驱动,鞠躬尽瘁,三国·诸葛亮
,,"(+,+,0)",跃跃欲试,知觉与注意,快乐,道德驱动,敏锐捕捉，快乐，道德驱动,助人为乐,《孟子》
,,,,知觉与注意,快乐,文化习俗,敏锐捕捉，快乐，文化习俗,半信半疑,清·李宝嘉
,,,,知觉与注意,爱,道德驱动,敏锐捕捉，爱，道德驱动,掩耳盗铃,《吕氏春秋》
,,,,知觉与注意,爱,文化习俗,敏锐捕捉，爱，文化习俗,望眼欲穿,唐·白居易
,,,,知识表征,快乐,道德驱动,准确判断，快乐，道德驱动,明辨是非,《礼记》
,,,,知识表征,快乐,文化习俗,准确判断，快乐，文化习俗,随乡入俗,《五灯会元》
,,,,知识表征,爱,道德驱动,准确判断，爱，道德驱动,恩怨相缠,俗语
,,,,知识表征,爱,文化习俗,准确判断，爱，文化习俗,心驰神往,《晋书》
,,,,推理,快乐,道德驱动,理性推演，快乐，道德驱动,诲人不倦,《论语》
,,,,推理,快乐,文化习俗,理性推演，快乐，文化习俗,举棋不定,《左传》
,,,,推理,爱,道德驱动,理性推演，爱，道德驱动,仁至义尽,《礼记》
,,,,推理,爱,文化习俗,理性推演，爱，文化习俗,礼尚往来,《礼记》
